FULL ADDRESS,PURCHASE DATE,PURCHASE PRICE,SOLD DATE,SOLD PRICE,PRICE CHANGE,PERIOD,DAILY PRICE CHANGE,PRICE CHANGE %,PURCHASE DATE SU,PURCHASE PRICE SU,SOLD DATE SU
"230 WEST 56 STREET, 63A",2003-06-04,2810370,2003-11-14,3300000,489630,163,3003.865030674847,17.422261125759242,-1.460901372955347,1.4684572513131713,-2.5793000866951075
"15 BROAD STREET, 2112",2006-06-29,1092065,2006-12-14,1596000,503935,168,2999.6130952380954,46.14514703795104,-0.454109251815522,-0.19653324231865532,-1.7572263316055545
"230 WEST 56 STREET, 49B",2003-03-10,1114934,2003-08-19,1600000,485066,162,2994.2345679012346,43.50625238803374,-1.5381396623559045,-0.17437380752747084,-2.642817330649629
"2211 BROADWAY, 7J",2010-12-28,3906261,2013-02-25,6250000,2343739,790,2966.7582278481013,59.999549441268776,1.0215013235928032,2.5303456221534333,-0.103587738996463
"1107 BROADWAY, 2D",2017-03-03,3003837,2018-04-30,4250000,1246163,423,2946.0118203309694,41.48570644811952,3.0485573605353413,1.6559214767163846,1.276269629670726
"7 HUBERT STREET, 6B",2004-08-18,4505756,2007-06-12,7520000,3014244,1028,2932.1439688715955,66.89763049752361,-1.0648306098664417,3.111239861522935,-1.6258113441134414
"65 WEST 13TH STREET, 11A",2009-03-31,3750000,2011-09-09,6350000,2600000,892,2914.798206278027,69.33333333333334,0.4493991102421622,2.3789329919594904,-0.49418228515357737
"123 WASHINGTON STREET, 43B",2013-09-19,2026875,2014-02-04,2425000,398125,138,2884.963768115942,19.642306506321308,1.9160284892085622,0.7092720503109813,0.14756090376624229
"1 MORTON SQUARE, 8B W",2004-12-14,2952925,2007-02-27,5275000,2322075,805,2884.5652173913045,78.6364367533886,-0.9588524918517233,1.606589142810714,-1.702470086817174
"15 BROAD ST, 1030",2007-03-30,880786,2007-08-09,1260000,379214,132,2872.8333333333335,43.05404490988731,-0.20802446930676902,-0.401256807986007,-1.583466514810427
"47 EAST 91ST STREET, 3",2004-09-14,5829481,2007-07-17,8800018,2970537,1036,2867.3137065637065,50.9571435261561,-1.0405813794732435,4.393893139714403,-1.6002584298788638
"217 WEST 19TH STREET, 6N",2008-04-21,2400000,2008-11-06,2970300,570300,199,2865.829145728643,23.7625,0.14044595263993223,1.0708199582413984,-1.2512786297609186
"80 RIVERSIDE BOULEVARD, 35C/D",2011-03-29,5500000,2012-04-18,6600000,1100000,386,2849.740932642487,20.0,1.1032302112143233,4.074635072705165,-0.332103800579971
"1 CENTRAL PARK WEST, 28G",2010-12-20,5150000,2012-01-10,6250000,1100000,386,2849.740932642487,21.35922330097087,1.014316366439263,3.73549465655603,-0.4043820437006333
"279 CENTRAL PARK WEST, PH6A",2003-08-21,2800000,2004-04-23,3500000,700000,246,2845.528455284553,25.0,-1.3908480407083297,1.458409005268981,-2.4617566812160505
"40 EAST 61ST STREET, 5A",2005-03-31,900000,2005-08-01,1248000,348000,123,2829.268292682927,38.666666666666664,-0.8627536899231227,-0.382638968112037,-2.1222679635280914
"170 EAST END AVENUE, 12B",2008-12-12,5625831,2009-07-23,6250000,624169,223,2798.964125560538,11.094698720953403,0.35150406902517656,4.196561866146484,-1.0621870644250446
"80 COLUMBUS CIRCLE, NT68D",2004-03-19,4862144,2006-02-17,6800000,1937856,700,2768.365714285714,39.855997683326535,-1.2013447957837062,3.4565700747531007,-1.9762513107590767
"49 EAST 21ST STREET, 8A",2004-11-17,1282995,2005-04-08,1675000,392005,142,2760.5985915492956,30.553899274743863,-0.9831017222449215,-0.011527300446214361,-2.206227538870275
"88 FRANKLIN STREET, 3",2012-12-21,3576197,2016-04-29,6925000,3348803,1225,2733.7167346938777,93.64145767137548,1.6717399459881943,2.210522644108153,0.7425787637999772
"407 GREENWICH STREET, 2A",2017-02-16,3550000,2017-11-07,4270000,720000,264,2727.2727272727275,20.281690140845072,3.0350855658724534,2.185138468445699,1.1492351417616833
"5 EAST 22 STREET, 19-C",2003-11-06,915000,2004-06-08,1500000,585000,215,2720.9302325581393,63.934426229508205,-1.321692828105505,-0.36810437884850267,-2.4281728510791774
"15 BROAD STREET, 1506",2006-06-16,664511,2006-10-06,969000,304489,112,2718.651785714286,45.82151386508275,-0.46578480719002485,-0.6108213608507331,-1.8076020768108647
"207 EAST 57TH   STREET, 34A",2007-07-03,3436593,2008-05-16,4300000,863407,318,2715.116352201258,25.12392360689788,-0.12270310310847876,2.0752501908050562,-1.3783131176699615
"1 CENTRAL PARK WEST, 39G",2004-05-25,5738615,2006-05-01,7650000,1911385,706,2707.344192634561,33.30742696626277,-1.1411707796228068,4.3058464738463815,-1.9229552324983863
"345 WEST 13TH STREET, 5F",2009-06-30,3000000,2010-12-01,4400000,1400000,519,2697.495183044316,46.666666666666664,0.5311279978636824,1.6522035287827725,-0.7000657655578881
"25 COLUMBUS CIRCLE, ST56A",2003-12-12,3978047,2008-06-20,8425000,4446953,1652,2691.8601694915255,111.78734187906781,-1.289360520914574,2.5999042904782383,-1.3527602034353838
"217 WEST 14 STREET, 5R",2004-08-30,765000,2005-07-07,1600000,835000,311,2684.887459807074,109.15032679738562,-1.0540531741361314,-0.5134502714838463,-2.140520045124218
"207 EAST 57TH STREET, 30B",2010-08-12,970000,2011-12-22,2300000,1330000,497,2676.056338028169,137.11340206185568,0.8975608126942343,-0.31481088488221004,-0.4182536257136897
"205 EAST 85TH   STREET, PH1A",2010-08-09,6671874,2013-07-24,9550000,2878126,1080,2664.9314814814816,43.13819475607603,0.8948664537616566,5.210148889946169,0.005194667316452957
"80 COLUMBUS CIRCLE, NT64B",2004-07-06,3563875,2008-05-08,7300000,3736125,1402,2664.8537803138374,104.83322226509067,-1.1034497545667206,2.1985829635144682,-1.384153783780722
"56 LEONARD STREET, 20BW",2016-06-22,5927168,2017-02-28,6595000,667832,251,2660.6852589641435,11.267303373212975,2.820434970910439,4.488549167806862,0.9652541592727246
"120 RIVERSIDE BOULEVARD, 7A",2006-02-07,562074,2006-05-15,820000,257926,97,2659.0309278350514,45.888263822913,-0.5816422412908611,-0.7100800088766444,-1.9127340668045552
"137 DUANE STREET, 3A",2014-04-03,6211325,2018-04-12,10116000,3904675,1470,2656.2414965986395,62.863801201836964,2.092059939470298,4.763889519897403,1.2631281309215148
"900 PARK AVENUE, 17A",2007-06-05,2200000,2008-06-16,3200000,1000000,377,2652.5198938992044,45.45454545454545,-0.1478504531458696,0.877025434727607,-1.355680536490764
"1107 BROADWAY, 6D",2015-12-17,3614787,2016-06-17,4100000,485213,183,2651.437158469945,13.423003900368128,2.6515884778022434,2.247915297420139,0.7783528437283859
"438 EAST 12TH STREET, 3A",2018-03-14,1349181,2018-06-28,1630000,280819,106,2649.235849056604,20.81403458839103,3.386250346751732,0.05260512122020462,1.3193445422375853
"225 LAFAYETTE STREET, 4A",2005-01-12,1038615,2005-08-22,1625000,586385,222,2641.373873873874,56.458360412664945,-0.93280702217014,-0.24832482872771605,-2.106936214987345
"1 CENTRAL PARK WEST, 31C",2004-04-27,2272500,2005-11-09,3750000,1477500,561,2633.6898395721923,65.01650165016501,-1.1663181296601974,0.9472759495013564,-2.049259637143584
"205 WEST 76TH   STREET, 1402",2010-05-03,6275323,2012-09-13,8550000,2274677,864,2632.728009259259,36.247966837722934,0.8068507286307888,4.825901829476582,-0.22405147753090013
"132 WEST 22ND STREET, 5",2011-09-02,3200000,2013-09-03,5125000,1925000,732,2629.781420765027,60.15625,1.2442349953525504,1.845998052296564,0.03512808113410097
