SALE DATE,BLOCK,LOT,YEAR BUILT,ZIP CODE,SALE PRICE
2015-04-03,746,78,1900,10011,1325000
2015-02-01,747,1,1963,10011,128460
2015-02-01,747,1,1963,10011,15613
2015-03-16,747,1,1963,10011,90482
2015-04-01,747,1,1963,10011,91043
2015-05-15,747,1,1963,10011,21810
2015-09-01,747,1,1963,10011,93850
2015-04-29,747,28,1926,10011,1900000
2015-07-21,747,28,1926,10011,1550000
2015-02-01,748,1,1963,10011,77075
2015-02-01,748,1,1963,10011,89921
2015-03-01,748,1,1963,10011,77556
2015-02-09,748,1,1963,10011,115613
2015-02-09,748,1,1963,10011,77075
2015-03-18,748,1,1963,10011,112025
2015-04-23,748,1,1963,10011,56360
2015-04-24,748,1,1963,10011,91043
2015-05-01,748,1,1963,10011,91605
2015-05-01,748,1,1963,10011,30535
2015-05-01,748,1,1963,10011,130864
2015-06-01,748,1,1963,10011,79000
2015-06-19,748,1,1963,10011,65833
2015-06-22,748,1,1963,10011,131666
2015-06-01,748,1,1963,10011,79000
2015-07-01,748,1,1963,10011,105974
2015-02-01,748,1,1963,10011,77075
2015-09-14,748,1,1963,10011,80443
2015-07-01,748,1,1963,10011,114805
2015-06-19,748,1,1963,10011,131666
2015-09-14,748,1,1963,10011,89381
2015-09-16,748,1,1963,10011,67036
2015-10-15,748,1,1963,10011,67437
2015-09-17,748,1,1963,10011,80443
2015-03-01,749,1,1963,10001,90482
2015-03-16,749,1,1963,10001,90482
2015-05-01,749,1,1963,10001,78518
2015-07-01,749,1,1963,10001,79481
2015-07-21,749,1,1963,10001,132468
2015-07-01,749,1,1963,10001,92728
2015-07-15,749,1,1963,10001,79481
2015-07-01,749,1,1963,10001,92728
2015-02-01,749,24,1963,10001,102767
2015-03-19,749,24,1963,10001,90482
2015-04-01,749,24,1963,10001,78037
2015-05-15,749,24,1963,10001,104691
2015-05-07,749,24,1963,10001,78518
2015-05-15,749,24,1963,10001,78518
2015-05-01,749,24,1963,10001,91605
2015-02-09,751,1,1960,10001,102767
2015-03-01,751,1,1960,10001,77556
2015-02-01,751,1,1960,10001,51383
2015-02-01,751,1,1960,10001,51383
2015-02-09,751,1,1960,10001,77075
2015-01-06,751,1,1960,10001,114891
2015-02-09,751,1,1960,10001,128460
2015-03-18,751,1,1960,10001,77556
2015-03-16,751,1,1960,10001,77556
2015-03-16,751,1,1960,10001,77556
2015-02-01,751,1,1960,10001,115613
2015-02-01,751,1,1960,10001,51383
2015-04-01,751,1,1960,10001,117056
2015-03-20,751,1,1960,10001,64630
2015-03-01,751,1,1960,10001,77556
2015-04-24,751,1,1960,10001,91043
2015-05-18,751,1,1960,10001,78518
2015-05-16,751,1,1960,10001,26012
2015-05-18,751,1,1960,10001,78518
2015-05-01,751,1,1960,10001,65432
2015-01-12,751,1,1960,10001,127656
2015-05-01,751,1,1960,10001,91605
2015-07-23,751,1,1960,10001,66234
2015-06-01,751,1,1960,10001,79000
2015-06-01,751,1,1960,10001,105333
2015-06-01,751,1,1960,10001,65833
2015-07-09,751,1,1960,10001,79481
2015-06-15,751,1,1960,10001,105333
2015-07-01,751,1,1960,10001,92728
2015-10-01,751,1,1960,10001,134874
2015-04-01,751,1,1960,10001,104050
2015-09-14,751,1,1960,10001,134072
2015-06-01,751,1,1960,10001,118500
2015-08-17,751,1,1960,10001,66635
2015-09-15,751,1,1960,10001,93850
2015-10-01,751,1,1960,10001,107899
2015-10-15,751,1,1960,10001,80924
2015-11-15,751,1,1960,10001,81405
2015-12-01,751,1,1960,10001,109182
2015-05-15,751,1,1960,10001,78518
2015-09-23,751,1,1960,10001,93580
2015-07-15,751,1,1960,10001,79481
2015-01-12,752,1,1963,10001,89359
2015-04-13,752,1,1963,10001,65031
2015-03-16,752,1,1963,10001,34469
2015-05-01,752,1,1963,10001,130864
2015-07-01,752,1,1963,10001,79481
2015-10-01,752,1,1963,10001,80924
2015-10-15,752,1,1963,10001,80924
2015-06-01,752,1,1963,10001,105333
2015-07-15,752,1,1963,10001,79962
2015-12-21,752,1,1963,10001,81887
2015-01-13,764,62,1930,10011,810000
2015-04-15,764,62,1930,10011,1235000
2015-07-29,764,62,1930,10011,1500000
2015-01-06,764,62,1930,10011,880000
2015-06-24,765,70,1930,10011,1050000
2015-09-17,765,70,1930,10011,1365000
2015-05-22,766,9,1930,10011,499000
2015-12-04,766,9,1930,10011,1333907
2015-03-26,766,39,1930,10011,525000
2015-04-23,766,39,1930,10011,475000
2015-05-28,766,39,1930,10011,1375000
2015-10-08,766,39,1930,10011,525000
2015-12-02,766,39,1930,10011,675000
2015-12-11,766,39,1930,10011,1170000
2015-11-30,766,39,1930,10011,1250000
2015-07-29,770,59,1913,10011,926250
2015-08-06,770,59,1913,10011,1499999
2015-08-28,771,20,1920,10011,415000
2015-06-23,771,23,1889,10011,1150000
2015-03-05,771,28,1920,10011,411070
2015-04-08,771,28,1920,10011,424866
2015-06-08,771,28,1920,10011,413712
2015-06-24,771,28,1920,10011,313326
2015-06-29,771,28,1920,10011,307242
2015-07-27,771,28,1920,10011,415740
2015-07-29,771,28,1920,10011,510000
2015-08-13,771,28,1920,10011,35000
2015-08-04,771,38,1963,10011,895000
2015-09-01,771,38,1963,10011,400000
2015-08-31,771,38,1963,10011,595000
2015-10-20,771,38,1963,10011,415000
2015-02-02,771,65,1920,10011,770000
2015-08-10,773,12,1940,10011,1050000
2015-08-12,773,12,1940,10011,1350000
2015-08-11,773,12,1940,10011,566000
2015-09-16,773,12,1940,10011,1085000
2015-11-25,773,12,1940,10011,200000
2015-12-08,773,12,1940,10011,525000
2015-08-25,776,17,1926,10001,2225000
2015-10-16,776,17,1926,10001,2100000
2015-02-18,776,65,1918,10001,1280000
2015-01-07,790,1,1963,10011,1185500
2015-01-07,790,1,1963,10011,999900
2015-04-17,790,1,1963,10011,910000
2015-05-04,790,1,1963,10011,565000
2015-07-28,790,1,1963,10011,725000
2015-09-17,790,1,1963,10011,1325000
2015-09-25,790,1,1963,10011,2170000
2015-07-07,790,40,1920,10011,1165000
2015-07-15,790,40,1920,10011,810000
2015-07-30,790,40,1920,10011,515000
2015-08-12,790,40,1920,10011,525000
2015-07-22,790,40,1920,10011,517500
2015-03-24,791,1,1938,10011,2650000
2015-04-30,791,1,1938,10011,1600000
2015-07-30,791,1,1938,10011,1975000
2015-07-30,791,1,1938,10011,2800000
2015-10-07,791,1,1938,10011,1995000
2015-10-07,791,1,1938,10011,1632000
2015-11-16,791,1,1938,10011,2000000
2015-12-14,791,1,1938,10011,3850000
2015-02-23,791,9,1940,10011,2700000
2015-02-25,791,13,1923,10011,2525000
2015-11-12,791,13,1923,10011,3650000
2015-04-22,791,62,1927,10011,955000
2015-12-03,792,33,1900,10011,1700000
2015-03-05,793,17,1920,10011,3050000
2015-12-03,793,22,1909,10011,1510000
2015-07-21,793,67,1906,10011,2008000
2015-09-28,793,67,1906,10011,3230000
2015-07-08,796,1,1938,10011,562500
2015-07-28,796,1,1938,10011,595000
2015-12-10,796,1,1938,10011,940000
2015-07-21,796,13,1909,10011,3375000
2015-10-15,797,17,1910,10011,450000
2015-06-10,797,76,1950,10011,770000
2015-06-04,797,76,1950,10011,809000
2015-04-02,798,71,1910,10011,1625000
2015-07-07,798,71,1910,10011,1085750
2015-07-29,798,71,1910,10011,570000
2015-05-04,799,60,1898,10011,1501000
2015-04-09,801,30,1905,10001,1650000
2015-08-19,801,30,1905,10001,1500000
