FULL ADDRESS,FIRST SALE,FIRST PRICE,LAST SALE,LAST PRICE,PRICE CHANGE,PERIOD,DAILY PRICE CHANGE
"630 1 AVENUE, 25S",2003-06-27,400000,2005-11-01,695000,295000,858,343.8228438228438
"65 WORTH STREET, 3A",2005-10-11,2367431,2007-03-26,2550000,182569,531,343.8210922787194
"160 WADSWORTH AVENUE, 200",2003-09-12,90000,2004-06-29,190000,100000,291,343.64261168384877
"845 UNITED NATIONS PLAZA, 63D",2004-04-02,1654656,2014-12-22,3000000,1345344,3916,343.55056179775283
"200 WEST END AVENUE, 15F",2008-05-01,4938512,2013-02-20,5541667,603155,1756,343.48234624145783
"1641 3 AVENUE, 27H",2003-02-20,423398,2007-04-19,945000,521602,1519,343.38512179065174
"393 WEST 49 STREET, 2I",2003-12-17,275808,2006-01-10,535000,259192,755,343.30066225165564
"220 WEST 148 STREET, 4F",2012-02-23,720000,2016-01-21,1210000,490000,1428,343.1372549019608
"350 WEST 42ND STREET, 15I",2006-06-13,501930,2007-11-14,680000,178070,519,343.10211946050094
"200 EAST 66TH STREET, E1204",2013-08-02,2582663,2016-12-01,3000000,417337,1217,342.9227608874281
"1965 BROADWAY, 14H",2005-01-18,1798000,2015-06-12,3100000,1302000,3797,342.90229128259153
"2250 BROADWAY, 3J",2003-10-30,465000,2005-10-31,716000,251000,732,342.89617486338796
"1623 3 AVENUE, 17E",2003-02-20,125635,2004-04-22,272000,146365,427,342.7751756440281
"263 9 AVENUE, 2E",2006-03-23,1221900,2013-08-21,2150000,928100,2708,342.725258493353
"15 BROAD STREET, 2024",2006-12-28,631315,2010-08-13,1085000,453685,1324,342.66238670694867
"21 ASTOR PLACE, 6A",2003-12-30,911334,2014-09-10,2250000,1338666,3907,342.63271051958026
"30 WEST 63RD   STREET, 8U",2010-03-22,560037,2016-02-19,1300000,739963,2160,342.57546296296294
"70 BATTERY PLACE, 19G",2011-09-07,1315000,2014-02-28,1625000,310000,905,342.5414364640884
"146 CHAMBERS STREET, 3",2008-01-04,1822667,2015-06-04,2750000,927333,2708,342.442023633678
"21 SOUTH END AVENUE, PH1Y",2011-03-01,1225000,2016-11-16,1939030,714030,2087,342.13224724484905
"200 EAST 89 STREET, 16A",2003-11-18,375000,2004-05-26,440000,65000,190,342.10526315789474
"225 FIFTH AVENUE, 3A",2007-07-24,2100000,2014-11-19,3015000,915000,2675,342.05607476635515
"150 WEST 56TH STREET, 4103",2009-10-01,1250000,2012-10-16,1630000,380000,1111,342.034203420342
"2077 5 AVENUE, 3C",2012-04-11,697501,2015-11-25,1150000,452499,1323,342.0249433106576
"473 BROADWAY, 5E",2005-04-25,2100000,2011-04-28,2850000,750000,2194,341.84138559708293
"99 JOHN STREET, 1502",2011-04-19,900000,2015-05-20,1410000,510000,1492,341.8230563002681
"15 BROAD STREET, 1120",2006-08-31,1210000,2017-12-01,2614150,1404150,4110,341.64233576642334
"21 ASTOR PLACE, 6B",2004-05-21,1120075,2017-10-12,2790000,1669925,4892,341.3583401471791
"350 WEST 50 STREET, 4Z",2003-11-26,214271,2005-10-17,450000,235729,691,341.14182344428366
"80 JOHN STREET, 3B",2007-05-23,910293,2007-12-28,985000,74707,219,341.12785388127855
"305 EAST 85TH   STREET, 8B",2010-04-09,1622072,2014-04-23,2125000,502928,1475,340.9681355932203
"100 WEST 58TH   STREET, 13F",2009-08-17,1196443,2014-04-25,1780000,583557,1712,340.8627336448598
"99 JOHN STREET, 922",2010-12-29,895000,2015-04-17,1430000,535000,1570,340.7643312101911
"220, 5E",2003-02-12,535000,2004-05-12,690000,155000,455,340.65934065934067
"259 EAST 7TH STREET, 2A",2007-10-12,1629200,2013-11-08,2385000,755800,2219,340.6038756196485
"205 EAST 68 STREET, T6B",2003-07-31,315000,2005-08-03,565000,250000,734,340.59945504087193
"161 WEST 61ST   STREET, 12C",2014-02-21,860000,2017-01-13,1220000,360000,1057,340.58656575212865
"51 WALKER STREET, 5B",2007-01-10,1853215,2016-03-31,3000000,1146785,3368,340.49435866983373
"425 FIFTH AVENUE, 30E",2004-05-05,631315,2008-03-11,1110000,478685,1406,340.4587482219061
"129 LAFAYETTE STREET, 8A",2004-12-21,2087412,2013-02-12,3100000,1012588,2975,340.36571428571426
"301 EAST 79TH   STREET, 14 H",2009-11-03,837500,2013-07-24,1300000,462500,1359,340.3237674760854
"150 NASSAU STREET, 12B",2003-03-27,1619017,2017-05-31,3380000,1760983,5179,340.0237497586407
"1838 2 AVENUE, 5B",2003-10-16,399000,2005-03-02,570000,171000,503,339.96023856858847
"367 BLEECKER STREET, 5",2008-07-28,203615,2014-09-03,960000,756385,2228,339.4905745062837
"121 EAST 23RD STREET, 19B",2009-06-30,997885,2014-09-30,1649000,651115,1918,339.4760166840459
"55 WALL STREET, 715",2009-07-10,450000,2010-01-22,516525,66525,196,339.41326530612247
"15 BROAD STREET, 3910",2008-03-14,2952925,2017-06-15,4100000,1147075,3380,339.3713017751479
"21 MERCER STREET, 5",2006-11-10,4769000,2012-10-03,5500000,731000,2154,339.3686165273909
"2000 BROADWAY, 9G",2010-08-12,699000,2011-07-20,815000,116000,342,339.1812865497076
"380 RECTOR PLACE, 12H",2003-05-30,850000,2008-08-28,1500000,650000,1917,339.0714658320292
"408 EAST 79TH STREET, 8B",2005-12-02,1899036,2014-05-29,2950000,1050964,3100,339.0206451612903
"157 EAST 74 STREET, 3C",2003-01-28,1500000,2003-11-19,1600000,100000,295,338.9830508474576
"66 LEONARD STREET, 12A",2003-05-21,2250000,2018-05-01,4100000,1850000,5459,338.889906576296
"400 CENTRAL PARK WEST, 6K",2004-08-12,610000,2006-02-09,795000,185000,546,338.82783882783883
"70 BATTERY PLACE, 28C",2010-05-13,1822667,2013-05-31,2200000,377333,1114,338.7190305206463
"311 WEST BROADWAY, 3I",2010-01-04,2472356,2017-08-31,3419000,946644,2796,338.57081545064375
"14 EAST 33RD   STREET, 5N",2010-07-21,1390000,2017-11-29,2300000,910000,2688,338.5416666666667
"1485 FIFTH AVENUE, 25C",2012-07-26,816000,2016-05-04,1282500,466500,1378,338.5341074020319
"1623 3 AVENUE, 7E",2003-02-20,117117,2005-01-05,349000,231883,685,338.51532846715327
"845 UNITED NATIONS PLAZA, 60A",2003-10-24,2341975,2012-07-13,3420000,1078025,3185,338.46938775510205
"450 WEST 17TH   STREET, 2301",2009-01-07,987702,2016-03-15,1875000,887298,2624,338.1471036585366
"455 CENTRAL PARK WEST, 9",2006-02-15,5089468,2010-08-31,5650000,560532,1658,338.07720144752716
"115 4 AVENUE, 7F",2008-05-01,2020000,2015-06-17,2900000,880000,2603,338.0714560122935
"302 WEST 12TH   STREET, 15D",2008-03-31,1280000,2017-04-26,2400000,1120000,3313,338.06217929369154
"260 PARK AVENUE SOUTH, 4G",2009-07-23,1695000,2012-09-04,2080000,385000,1139,338.01580333625986
"53 NORTH MOORE STREET, 3A",2003-12-16,1330000,2011-10-25,2300000,970000,2870,337.97909407665503
"421 HUDSON STREET, 501",2003-09-22,605000,2008-10-15,1230000,625000,1850,337.8378378378378
"344 BOWERY, 4",2007-12-05,2265606,2013-11-04,2995000,729394,2161,337.5261453031004
"311 WEST BROADWAY, 8A",2010-06-17,3750000,2013-04-19,4100000,350000,1037,337.5120540019286
"1619 3 AVENUE, 9J",2003-02-20,268660,2005-05-19,545000,276340,819,337.4114774114774
"1 MORTON SQUARE, 14C W",2004-12-15,1883762,2011-06-02,2680000,796238,2360,337.38898305084746
"835 BROADWAY, 5E",2005-06-27,1985587,2012-04-27,2827500,841913,2496,337.3048878205128
"407 EAST 12TH   STREET, 1RNE",2012-04-24,1350000,2017-02-07,1940000,590000,1750,337.14285714285717
"421 HUDSON STREET, 306",2004-08-16,1450000,2018-03-28,3125000,1675000,4972,336.88656476267096
"416 WASHINGTON STREET, 5K",2006-01-17,941881,2014-08-25,2000000,1058119,3142,336.76607256524505
"30 EAST 37TH STREET, 7G",2007-02-16,177187,2008-09-26,375180,197993,588,336.72278911564626
"450 WEST 17TH   STREET, 1702",2008-12-22,913624,2011-04-22,1200000,286376,851,336.51703877790834
"30 LITTLE WEST STREET, 12B",2011-06-07,1200000,2017-06-29,1945000,745000,2214,336.4950316169828
"88 CHAMBERS STREET, 401",2007-06-08,1680112,2015-09-25,2700000,1019888,3031,336.4856483008908
"171 EAST 84 STREET, 6D2",2004-06-07,600000,2006-06-20,850000,250000,743,336.47375504710635
"310 WEST 52ND STREET, PHB",2008-06-13,3614787,2015-12-09,4535000,920213,2735,336.4581352833638
"77 READE STREET, 2F",2012-04-13,2087413,2018-04-30,2830000,742587,2208,336.3165760869565
"285 LAFAYETTE STREET, 3E",2004-06-07,3551000,2012-03-01,4500000,949000,2824,336.04815864022663
"200 CHAMBERS STREET, 4H",2007-03-21,1288086,2017-07-28,2558500,1270414,3782,335.91062929666845
"33 WEST 56TH   STREET, 9C",2010-12-14,3300000,2014-03-19,3700000,400000,1191,335.8522250209908
"220 RIVERSIDE BOULEVARD, 45A",2005-12-08,3175000,2015-01-04,4287500,1112500,3314,335.69704284852145
"260 PARK AVENUE SOUTH, 12G",2006-09-07,1588470,2016-12-21,2850000,1261530,3758,335.691857370942
"53 NORTH MOORE STREET, 5B",2003-01-08,1050000,2015-08-31,2600000,1550000,4618,335.64313555651796
"40 WEST 116TH STREET, A1203",2014-08-13,1393750,2017-09-07,1770000,376250,1121,335.63782337198927
"200 WEST END AVENUE, 9A",2008-02-11,1659747,2016-05-24,2675000,1015253,3025,335.620826446281
"235 WEST END AVENUE, 3D",2006-10-12,675000,2007-08-06,775000,100000,298,335.5704697986577
"52 THOMAS STREET, 3A",2008-06-27,1883762,2017-07-07,2990000,1106238,3297,335.52866242038215
"43 EAST 25TH   STREET, 21C",2013-09-23,900000,2015-06-11,1110000,210000,626,335.4632587859425
"220 EAST 65 STREET, 5D",2004-02-10,475000,2006-07-24,775000,300000,895,335.195530726257
"124 WEST 24TH STREET, 2A",2007-10-30,1014686,2014-06-13,1825000,810314,2418,335.1174524400331
"57 READE STREET, 17C",2012-08-22,1558000,2015-06-09,1900000,342000,1021,334.9657198824682
"2 COLUMBUS AVENUE, 14B",2010-04-28,1550000,2014-04-30,2040000,490000,1463,334.9282296650718
"1049 FIFTH AVENUE, 7A",2007-02-01,4300000,2012-10-22,5000000,700000,2090,334.9282296650718
"235 EAST 40 STREET, 41G",2003-11-25,645000,2004-07-06,720000,75000,224,334.82142857142856
"280 PARK AVENUE SOUTH, 3D",2010-02-25,795000,2012-01-13,1025000,230000,687,334.78893740902475
"224 WEST 18 STREET, 4C",2003-08-08,501930,2006-05-11,839000,337070,1007,334.7269116186693
"99 JANE STREET, 5E",2003-02-28,1150000,2010-12-09,2100000,950000,2841,334.3892995424146
"133 2 AVENUE, 9",2009-02-20,800000,2014-10-02,1485000,685000,2050,334.1463414634146
"30 LITTLE WEST STREET, 24C",2013-05-06,1180000,2016-10-14,1600000,420000,1257,334.1288782816229
"1 MORTON SQUARE, 6C E",2004-11-04,1578287,2011-02-01,2340000,761713,2280,334.08464912280704
"200 CHAMBERS STREET, PHB",2007-08-31,2064501,2013-09-10,2800000,735499,2202,334.0140781108084
"505 GREENWICH STREET, PHD",2005-05-10,2341975,2017-09-19,3850000,1508025,4515,334.0033222591362
"22 WEST 66TH   STREET, 15",2007-01-30,3450000,2015-09-09,4500000,1050000,3144,333.96946564885496
"114 EAST 13TH STREET, 4D",2015-07-16,1271415,2017-03-17,1475000,203585,610,333.74590163934425
"1 BOND STREET, 4D",2006-08-30,1565000,2013-08-20,2415000,850000,2547,333.7259521005104
"112 WEST 18TH   STREET, 17-4D",2009-11-19,1070000,2016-04-14,1850000,780000,2338,333.6184773310522
"252 7 AVENUE, 4J",2003-12-10,1075000,2014-11-24,2410000,1335000,4002,333.5832083958021
"780 WEST END AVENUE, 2A",2004-08-12,2118000,2013-08-29,3220000,1102000,3304,333.5351089588378
"425 FIFTH AVENUE, 33B",2005-02-09,677136,2008-04-02,1060000,382864,1148,333.50522648083626
"252 SEVENTH AVENUE, 17B",2004-09-24,1750000,2011-12-01,2625000,875000,2624,333.4603658536585
"72-74 EAST 3RD STREET, 3D",2014-06-25,899000,2015-02-20,979000,80000,240,333.3333333333333
"350 WEST 57 STREET, 10G",2003-05-08,730000,2005-07-11,995000,265000,795,333.3333333333333
"215 WEST 95 STREET, 15E",2004-05-18,350000,2006-10-11,642000,292000,876,333.3333333333333
"150 WEST 51 STREET, 15-1",2003-07-17,280000,2005-09-01,539000,259000,777,333.3333333333333
"88 JANE STREET, C",2008-12-23,1700000,2017-03-14,2700000,1000000,3003,333.000333000333
"400 CENTRAL PARK WEST, 1B",2004-06-02,454000,2006-03-10,669100,215100,646,332.9721362229102
"25 CENTRAL PARK WEST, 7N",2007-01-09,3900000,2012-09-06,4588000,688000,2067,332.8495403967102
"350 ALBANY STREET, 12C",2014-11-20,705000,2016-07-28,910000,205000,616,332.7922077922078
"340 EAST 64TH   STREET, 10C",2014-03-28,1300000,2016-09-12,1599000,299000,899,332.5917686318131
"354 BROADWAY, 5",2005-05-10,2850000,2013-10-04,3870000,1020000,3069,332.355816226784
"1 MORTON SQUARE, 4B W",2004-10-29,1043781,2013-07-12,2100000,1056219,3178,332.35336689741973
"845 UNITED NATIONS PLAZA, 9A",2004-02-04,1895000,2015-09-02,3300000,1405000,4228,332.3084200567644
"1178 2 AVENUE, 2103",2004-03-31,577500,2005-01-26,677500,100000,301,332.22591362126246
"303 EAST 33RD   STREET, 4P",2011-03-23,1150622,2015-08-26,1687500,536878,1617,332.02102659245514
"147 WAVERLY PLACE, 1E",2008-06-13,911333,2009-02-05,990000,78667,237,331.9282700421941
"100 RIVERSIDE BOULEVARD, 31A",2008-08-15,1428956,2014-12-10,2195000,766044,2308,331.90814558058923
"101 WARREN STREET, 1430",2008-09-18,2011043,2017-12-12,3130000,1118957,3372,331.83778173190984
"101 WARREN STREET, 1160M",2008-09-04,3171848,2014-06-24,3875000,703152,2119,331.8319962246343
"416 WASHINGTON STREET, 2H",2005-12-02,1934675,2017-09-06,3360000,1425325,4296,331.77956238361264
"655 6 AVENUE, 5L",2007-07-10,1186261,2007-12-19,1240000,53739,162,331.72222222222223
"300 EAST 77TH STREET, 24B",2009-09-17,2000000,2016-09-23,2850000,850000,2563,331.6426063207179
"295 GREENWICH STREET, 2GN",2004-06-18,570000,2007-08-08,950000,380000,1146,331.58813263525303
"11 EAST 70TH   STREET, 4B",2007-01-18,1610000,2013-05-14,2375000,765000,2308,331.4558058925477
"124 WEST 24TH STREET, 2D",2007-10-30,1454973,2015-03-23,2350000,895027,2701,331.36875231395777
"99 JANE STREET, 6L",2004-05-06,1125000,2015-09-16,2500000,1375000,4150,331.32530120481925
"260 PARK AVENUE SOUTH, 3G",2006-08-21,1650000,2014-02-27,2560000,910000,2747,331.2704768838733
"301 CATHEDRAL PARKWAY, 7N",2007-05-25,250000,2011-05-13,730000,480000,1449,331.26293995859214
"200 CHAMBERS STREET, 21F",2007-05-15,2102686,2016-11-08,3250000,1147314,3465,331.1151515151515
"350 WEST 50 STREET, 4M",2003-10-09,245781,2005-02-01,405000,159219,481,331.016632016632
"502 PARK AVENUE, 15C",2005-01-27,1290122,2013-03-22,2275000,984878,2976,330.940188172043
"101 WARREN STREET, 2330",2009-02-27,2326701,2016-08-05,3225000,898299,2716,330.74337260677464
"200 EAST 89TH STREET, 27B",2010-06-30,1120000,2015-08-03,1735000,615000,1860,330.64516129032256
"354 BOWERY, 3",2003-10-10,164450,2015-01-15,1525000,1360550,4115,330.6318347509113
"30 EAST 85TH STREET, 9C",2007-02-21,1535000,2014-02-05,2375000,840000,2541,330.57851239669424
"10 EAST 14TH   STREET, 1",2007-01-04,920400,2012-03-08,1545000,624600,1890,330.4761904761905
"15 BROAD STREET, 2124",2006-08-21,595676,2015-10-15,1700000,1104324,3342,330.43806104129266
"27 WEST 72ND STREET, 205",2012-04-13,2400000,2018-04-17,3125000,725000,2195,330.29612756264237
"817 WEST END AVENUE, 7D",2007-12-13,1045561,2011-04-21,1450000,404439,1225,330.1542857142857
"133 WEST 22ND   STREET, 3C",2009-08-19,840056,2012-03-15,1150000,309944,939,330.0788072417465
"400 CENTRAL PARK WEST, 18A",2017-01-18,1395000,2017-11-17,1495000,100000,303,330.03300330033005
"52 PARK AVENUE, 3",2003-04-15,655000,2014-06-13,2000000,1345000,4077,329.89943585970076
"25 MURRAY STREET, 6E",2010-12-30,1883762,2013-03-01,2145000,261238,792,329.8459595959596
"330 EAST 38TH STREET, 37L",2011-10-13,995000,2015-04-24,1420000,425000,1289,329.7129557796742
"21 SOUTH END AVENUE, 424",2004-10-08,555000,2007-01-05,825000,270000,819,329.6703296703297
"200 RIVERSIDE BOULEVARD, PH2B",2007-07-25,3395000,2014-09-02,4250000,855000,2596,329.35285053929124
"240 WEST 98TH   STREET, 6D",2011-02-08,988942,2013-11-25,1325000,336058,1021,329.14593535749265
"25 CENTRAL PARK WEST, 10C",2006-02-24,2088430,2012-01-26,2800000,711570,2162,329.12580943570765
"655 AVENUE OF THE AMER, 5H",2016-09-12,4000000,2018-07-13,4220000,220000,669,328.8490284005979
"421 HUDSON STREET, 307",2013-06-24,1624108,2016-10-26,2025000,400892,1220,328.6
"58 WALKER STREET, 3",2003-06-30,1308451,2012-10-18,2425000,1116549,3398,328.59005297233665
"540 WEST 28TH   STREET, 4D",2011-07-28,1150000,2017-10-27,1900000,750000,2283,328.515111695138
"555 WEST 59TH   STREET, TH-3D",2008-12-12,3024202,2016-05-31,3920000,895798,2727,328.4921158782545
"58 WALKER STREET, 1",2003-09-05,1919401,2016-09-22,3484785,1565384,4766,328.44817456986993
"150 CHARLES STREET, 2DS",2016-01-08,1126176,2017-11-20,1350000,223824,682,328.1876832844575
"195 BOWERY, 12",2006-06-30,1595105,2018-06-05,3025000,1429895,4358,328.108077099587
"515 EAST 72ND   STREET, 20F",2011-04-27,1450000,2016-04-29,2050000,600000,1829,328.0481137233461
"275 WEST 96 STREET, 3B-1",2003-05-07,405000,2005-09-07,685000,280000,854,327.8688524590164
"108 5 AVENUE, 2B",2003-09-19,937500,2008-08-21,1527000,589500,1798,327.8642936596218
"15 BROAD STREET, 1526",2006-12-05,570220,2011-12-09,1170000,599780,1830,327.74863387978144
"404 EAST 66TH STREET, 3D",2004-11-10,650000,2005-06-27,725000,75000,229,327.51091703056767
"280 RECTOR PLACE, 2I",2003-11-13,290000,2004-06-29,365000,75000,229,327.51091703056767
"200 EAST 89TH STREET, 45A",2010-02-23,1600000,2011-10-27,1800000,200000,611,327.33224222585926
"220 RIVERSIDE BOULEVARD, 20L",2005-04-08,1500000,2010-01-29,2075000,575000,1757,327.26237905520776
"380 RECTOR PLACE, 8A",2004-04-02,685000,2007-07-23,1080000,395000,1207,327.25766362883184
"52 PARK AVENUE, 10",2004-05-11,890969,2014-11-24,2150000,1259031,3849,327.10600155884646
"203 WEST 81ST STREET, 7C",2005-11-16,800000,2014-01-14,1775000,975000,2981,327.07145253270716
"5 EAST 22ND   STREET, 4-G",2012-03-16,800000,2015-10-22,1230000,430000,1315,326.99619771863115
"350 EAST 82ND   STREET, 10A",2010-03-04,1690000,2017-05-11,2547500,857500,2625,326.6666666666667
"15 BROAD STREET, 3200",2006-12-08,1680112,2016-09-30,2850000,1169888,3584,326.41964285714283
"90 WILLIAM STREET, 3C",2008-11-13,683245,2017-01-25,1660000,976755,2995,326.1285475792988
"15 BROAD STREET, 1224",2007-01-26,595676,2011-08-15,1137500,541824,1662,326.00722021660647
"2 COLUMBUS AVENUE, 39B",2004-10-19,1900000,2011-06-24,2695000,795000,2439,325.9532595325953
"502 PARK AVENUE, 10F",2004-07-09,924571,2015-03-27,2200000,1275429,3913,325.9465882954255
"14 PRINCE STREET, 6D",2007-05-16,1592000,2013-10-03,2352000,760000,2332,325.9005145797599
"450 WEST 17TH   STREET, 2203",2009-02-20,1491736,2018-01-12,2550000,1058264,3248,325.820197044335
"68 BRADHURST AVENUE, 9-L",2010-12-14,705000,2017-03-16,1449000,744000,2284,325.74430823117336
"15 BROAD STREET, 1426",2007-01-18,542523,2014-01-17,1375000,832477,2556,325.6952269170579
"530 EAST 76 STREET, 10B",2003-03-26,499900,2004-04-29,630000,130100,400,325.25
"225 5 AVENUE, 7A",2007-01-11,1720842,2015-09-11,2750000,1029158,3165,325.1684044233807
"150 WEST 51 STREET, 41125",2004-03-11,330000,2005-05-31,475000,145000,446,325.11210762331837
"181 EAST 90 STREET, 16C",2004-06-25,2311427,2012-05-22,3250000,938573,2888,324.9906509695291
"700 RIVERSIDE DRIVE, 6D",2011-10-25,295210,2014-05-20,600000,304790,938,324.93603411513857
"845 UNITED NATIONS PLAZA, 15G",2004-07-19,341321,2015-04-06,1612500,1271179,3913,324.86046511627904
"15 WEST 53RD   STREET, 39A",2008-02-28,6150000,2018-04-10,7350000,1200000,3694,324.85110990795886
"188 EAST 70 STREET, 6B",2003-11-14,2250000,2012-04-19,3250000,1000000,3079,324.78077297823967
"255 EAST 49 STREET, 17B",2003-05-29,525000,2005-08-22,790000,265000,816,324.7549019607843
"1 IRVING PLACE, P11B",2008-12-19,999000,2010-03-29,1150000,151000,465,324.73118279569894
"1 MORTON SQUARE, 3G W",2004-10-05,1476537,2015-07-02,2750000,1273463,3922,324.6973482916879
"40 BROAD STREET, 24G",2011-07-06,735607,2013-06-27,970000,234393,722,324.64404432132966
"80 RIVERSIDE BOULEVARD, 5T",2009-08-27,766131,2011-05-17,970000,203869,628,324.63216560509557
"421 HUDSON STREET, 719",2003-02-13,68455,2012-12-31,1240000,1171545,3609,324.6176226101413
"715 PARK AVENUE, 2D",2003-11-18,1210000,2011-10-25,2150000,940000,2898,324.3616287094548
"171 EAST 84TH   STREET, 12B",2013-05-29,1600000,2015-12-10,1900000,300000,925,324.3243243243243
"205 EAST 85TH   STREET, 16E",2009-07-15,1994396,2013-05-20,2450000,455604,1405,324.2733096085409
"39 VESTRY STREET, 3B",2006-02-03,1450000,2014-07-18,2451000,1001000,3087,324.26303854875283
"333 EAST 34 STREET, 2J",2004-02-27,367575,2006-02-13,600000,232425,717,324.163179916318
"210 LAFAYETTE STREET, 2G",2006-03-06,2240150,2014-09-16,3250000,1009850,3116,324.0853658536585
"220 EAST 65 STREET, 3E",2004-02-13,255000,2005-08-03,429000,174000,537,324.0223463687151
"117 EAST 57TH   STREET, 34H",2008-09-25,1850000,2014-08-26,2550000,700000,2161,323.9241092086997
"77 PARK AVENUE, 14E",2003-04-18,1350000,2014-04-14,2650000,1300000,4014,323.86646736422523
"381 LENOX AVENUE, 6-A",2011-09-28,615000,2017-04-28,1275000,660000,2039,323.6880823933301
"25 COLUMBUS CIRCLE, ST59B",2004-01-27,3717856,2014-10-24,4987500,1269644,3923,323.64109100178433
"444 EAST 57TH STREET, 6B",2007-01-11,400000,2017-03-09,1600000,1200000,3710,323.45013477088946
"220, 18G",2003-01-17,656771,2003-12-30,769000,112229,347,323.42651296829973
"1 BOND STREET, 6B",2004-12-01,2996000,2016-05-20,4350000,1354000,4188,323.30468003820437
"50 FRANKLIN STREET, 9E",2012-02-14,865324,2014-02-10,1100000,234676,727,322.8005502063274
"138 READE STREET, 3",2007-01-23,3003837,2012-07-18,3650000,646163,2003,322.5976035946081
"505 GREENWICH STREET, 12A",2005-03-22,1807393,2011-12-13,2600000,792607,2457,322.59137159137157
"150 WEST 56TH   STREET, 6102",2009-09-09,1560000,2014-04-07,2099000,539000,1671,322.5613405146619
"200 WEST END AVENUE, 9G",2008-02-12,3563875,2016-01-25,4500000,936125,2904,322.3570936639118
"200 RIVERSIDE BOULEVARD, 31B",2010-02-12,1300000,2016-09-13,2075000,775000,2405,322.24532224532226
"15 WEST 20TH STREET, 4A",2007-06-25,2341975,2014-03-07,3130000,788025,2447,322.0371883939518
"28 EAST 10TH   STREET, 5G",2011-11-29,750000,2014-04-03,1025500,275500,856,321.8457943925234
"366 WEST 11 STREET, 6D",2003-04-01,555250,2005-05-16,805000,249750,776,321.8427835051546
"311 EAST 11TH   STREET, 1A",2010-06-03,1120075,2017-04-10,1925000,804925,2503,321.5840990811027
"230 RIVERSIDE DRIVE, 16O",2008-06-30,294000,2015-07-13,1120075,826075,2569,321.5550797975866
"350 WEST 50 STREET, 28D",2003-12-23,460000,2006-07-10,759000,299000,930,321.505376344086
"395 BROADWAY, 14E",2003-04-10,780000,2017-06-30,2450000,1670000,5195,321.4629451395573
"60 RIVERSIDE BOULEVARD, 2703",2012-03-06,3134118,2018-04-11,3850000,715882,2227,321.45577009429724
"450 WEST 17TH   STREET, 1509",2008-10-30,3665700,2017-08-22,4700000,1034300,3218,321.4108141702921
"372 CENTRAL PARK WEST, 10W",2016-03-10,1125000,2017-12-08,1330000,205000,638,321.3166144200627
"418 CENTRAL PARK WEST, 98",2003-04-10,400000,2007-06-07,888000,488000,1519,321.2639894667544
"366 WEST 11TH   STREET, 5E",2012-09-13,2700000,2018-03-15,3345000,645000,2009,321.05525136884023
"150 WEST 26TH STREET, 901",2005-07-14,1375000,2010-11-12,2000000,625000,1947,321.00667693888033
"25 MURRAY STREET, 5C",2008-08-13,1664838,2014-01-13,2300000,635162,1979,320.9509853461344
"240 EAST 10TH   STREET, 4A",2008-02-15,995000,2016-05-10,1960000,965000,3007,320.917858330562
"505 WEST 47TH   STREET, PH5-S",2011-02-03,2275000,2015-07-15,2795737,520737,1623,320.8484288354898
"835 BROADWAY, 2W",2005-05-26,1323725,2010-12-16,1975000,651275,2030,320.82512315270935
"80 RIVERSIDE BOULEVARD, 4D",2010-09-24,1364455,2013-08-02,1699000,334545,1043,320.75263662511986
"1 MORTON SQUARE, 2D W",2004-11-17,2138325,2014-05-15,3250000,1111675,3466,320.73716099249856
"40 BROAD STREET, 28A",2012-06-20,919000,2014-11-10,1199000,280000,873,320.7331042382589
"2 EAST 55TH   STREET, 815",2006-12-04,511161,2007-04-10,551891,40730,127,320.70866141732284
"133 WEST 22ND   STREET, 6C",2009-08-21,916425,2013-04-03,1340000,423575,1321,320.64723694171084
"350 WEST 42 STREET, 25A",2006-07-20,676118,2008-04-16,880000,203882,636,320.5691823899371
"15 BROAD STREET, 2030",2006-10-16,623301,2009-10-27,978000,354699,1107,320.4146341463415
"424 WEST 49TH   STREET, 6B",2009-07-24,920000,2015-11-20,1660000,740000,2310,320.34632034632034
"240 PARK AVENUE SOUTH, 2D2",2008-07-11,1527375,2014-07-23,2233000,705625,2203,320.30186109850206
"220 RIVERSIDE BOULEVARD, 16LT",2010-06-29,2150000,2016-01-20,2800000,650000,2031,320.03938946331857
"300 EAST 23RD   STREET, 9B",2011-08-12,916425,2015-08-31,1390000,473575,1480,319.9831081081081
"27 NORTH MOORE STREET, 4D",2006-03-15,2069500,2009-11-05,2495000,425500,1331,319.68444778362135
"1 YORK STREET, 9B",2011-02-08,3563875,2017-05-30,4300000,736125,2303,319.637429439861
"93 WORTH STREET, 307",2014-04-07,490370,2017-12-27,925000,434630,1360,319.58088235294116
"181 EAST 90 STREET, 10C",2004-05-04,1766816,2007-03-13,2100000,333184,1043,319.4477468839885
"1 MORTON SQUARE, 5C E",2004-10-21,1400093,2012-07-09,2300000,899907,2818,319.34244144783537
"800 TENTH AVENUE, 2E",2011-08-04,799611,2014-10-07,1170000,370389,1160,319.3008620689655
"411 EAST 53RD   STREET, 5K",2010-12-28,725000,2014-02-14,1090000,365000,1144,319.05594405594405
"160 CENTRAL PARK SOUTH, 2708",2004-06-28,825000,2013-08-19,1890000,1065000,3339,318.95777178796044
"525 EAST 80TH STREET, 1B",2006-03-06,1275000,2014-07-23,2250000,975000,3061,318.5233583796145
"233 EAST 17TH   STREET, 4",2011-12-06,2850000,2015-10-19,3300000,450000,1413,318.47133757961785
