Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,18060,"Columbus, MS",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,187950.000000,0.0000,,1180.00000,0.0000,,159.23728813559300,0.0000,,0.0,-1.0000,,,,,113.00,-45.00,-0.2848,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,-1.0000,,,,,-0.1875,,,,0,
201808,47820,"Washington, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,160750.000000,-0.0941,-0.1960,1201.00000,-0.0392,-0.0446,130.14264186745875,-0.0747,-0.1817,3.0,-0.2500,-0.2500,0.0000,-1.0000,-1.0000,77.50,-52.50,-0.4038,-178.50,-0.6973,0.0,,-1.0000,0.0,,,0.0,,,1.5,0.5000,0.5000,4.5,-0.1000,-0.1000,0.5000,0.2500,0.2500,-0.4731,0.2634,-0.3000,0.8780,1,0
201808,12660,"Baraboo, WI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,179050.000000,-0.0028,0.1985,1350.50000,-0.0185,0.0806,129.61850343658750,0.0049,0.2185,58.5,0.0086,0.0086,0.1538,-0.1889,1.2322,87.00,5.00,0.0610,-23.50,-0.2127,12.0,0.5000,5.0000,0.0,,,6.0,-0.2500,0.0000,0.0,,,58.5,0.0086,0.0086,0.0000,0.0000,0.0000,-0.0189,0.7631,0.0417,0.7241,0,0
201808,47660,"Warrensburg, MO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,72050.000000,-0.0757,,1278.00000,0.0000,,56.33802816901400,-0.0758,,1.0,0.0000,,0.0000,,,70.50,18.00,0.3429,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.2830,,0.0857,,0,0
201808,31860,"Mankato-North Mankato, MN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,222750.000000,0.0267,0.4732,1605.50000,0.1584,0.3098,147.59810662218125,0.0172,0.0887,14.5,0.2083,-0.1471,0.2758,-0.3380,-0.3301,57.00,-8.00,-0.1231,-12.75,-0.1828,4.0,0.0000,-0.3333,0.0,,,0.0,,,10.0,-0.0909,0.1111,24.5,0.0652,-0.0577,0.6897,-0.2270,0.1602,0.0263,-0.0877,-0.0221,0.1770,1,0
201808,48060,"Watertown-Fort Drum, NY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,218500.000000,0.0000,0.0815,1240.00000,0.0000,0.1695,168.46774193548300,0.0000,0.0887,4.0,0.0000,-0.5556,0.0000,,-1.0000,255.50,28.00,0.1231,156.25,1.5743,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,4.0,0.0000,-0.5556,0.0000,0.0000,0.0000,0.1907,-0.0685,0.1875,1.0357,0,0
201808,28260,"Kearney, NE",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,259050.000000,0.0816,0.2793,2762.00000,0.1329,0.2173,100.56977403004375,0.0169,0.1285,3.0,0.5000,2.0000,0.5000,,0.0000,24.25,-13.75,-0.3618,-115.25,-0.8262,4.0,,,0.0,,,0.0,,,0.0,,,3.0,0.5000,2.0000,0.0000,0.0000,0.0000,2.3074,6.4167,1.1404,0.1687,0,0
201808,11180,"Ames, IA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,230025.000000,0.0001,-0.1146,1372.00000,0.0000,-0.0942,181.41426783479300,0.0000,0.0323,32.0,0.1429,0.2549,0.2031,-0.0523,-0.2602,141.75,-14.25,-0.0913,26.75,0.2326,8.0,1.0000,-0.3333,0.0,,,18.0,3.5000,8.0000,3.0,0.0000,-0.4545,35.0,0.1290,0.1290,0.0938,-0.0134,-0.1219,0.4459,0.4233,0.3333,0.2571,0,0
201808,14660,"Brainerd, MN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,299950.000000,-0.0479,0.2926,1475.00000,0.0536,0.0688,190.89424829473400,0.0139,0.1184,24.0,-0.0400,-0.1273,0.1250,-0.2188,-0.1404,192.00,35.00,0.2229,0.25,0.0013,2.0,-0.5000,0.0000,0.0,,,4.0,,1.0000,3.5,-0.3000,-0.5000,27.5,-0.0833,-0.2029,0.1458,-0.0542,-0.1087,0.0459,-0.0481,0.0962,0.0962,0,0
201808,44580,"Sterling, IL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,109950.000000,-0.0838,-0.0816,1362.50000,0.0792,0.1996,85.63888888888850,-0.0963,-0.0905,8.0,-0.2727,-0.3333,0.0000,-1.0000,-1.0000,101.00,34.50,0.5188,-68.25,-0.4032,0.0,-1.0000,,0.0,,,0.0,,,2.0,,1.0000,10.0,-0.0909,-0.2308,0.2500,0.2500,0.1667,-0.5144,-0.2033,-0.3387,0.0000,1,0
